Datetime,Timestamp,Signal
2024-12-13 14:23:57.809616,1734117837.809616,336
2024-12-13 14:23:57.809616,1734117837.809616,335
2024-12-13 14:23:57.809616,1734117837.809616,335
2024-12-13 14:23:57.810614,1734117837.8106139,335
2024-12-13 14:23:57.810614,1734117837.8106139,336
2024-12-13 14:23:57.810614,1734117837.8106139,336
2024-12-13 14:23:57.810614,1734117837.8106139,337
2024-12-13 14:23:57.811613,1734117837.811613,336
2024-12-13 14:23:57.811613,1734117837.811613,336
2024-12-13 14:23:57.811613,1734117837.811613,335
2024-12-13 14:23:57.811613,1734117837.811613,336
2024-12-13 14:23:57.811613,1734117837.811613,336
2024-12-13 14:23:57.813118,1734117837.8131185,335
2024-12-13 14:23:57.813118,1734117837.8131185,335
2024-12-13 14:23:57.813118,1734117837.8131185,335
2024-12-13 14:23:57.813118,1734117837.8131185,336
2024-12-13 14:23:57.813118,1734117837.8131185,336
2024-12-13 14:23:57.813118,1734117837.8131185,337
2024-12-13 14:23:57.813118,1734117837.8131185,336
2024-12-13 14:23:57.814123,1734117837.8141232,336
2024-12-13 14:23:57.814123,1734117837.8141232,335
2024-12-13 14:23:57.814123,1734117837.8141232,336
2024-12-13 14:23:57.814123,1734117837.8141232,336
2024-12-13 14:23:57.814123,1734117837.8141232,335
2024-12-13 14:23:57.814123,1734117837.8141232,335
2024-12-13 14:23:57.814123,1734117837.8141232,335
2024-12-13 14:23:57.814123,1734117837.8141232,336
2024-12-13 14:23:57.814123,1734117837.8141232,336
2024-12-13 14:23:57.815123,1734117837.8151226,337
2024-12-13 14:23:57.815123,1734117837.8151226,336
2024-12-13 14:23:57.815123,1734117837.8151226,336
2024-12-13 14:23:57.815123,1734117837.8151226,335
2024-12-13 14:23:57.815123,1734117837.8151226,335
2024-12-13 14:23:57.815123,1734117837.8151226,335
2024-12-13 14:23:57.815123,1734117837.8151226,334
2024-12-13 14:23:57.815123,1734117837.8151226,336
2024-12-13 14:23:57.815123,1734117837.8151226,335
2024-12-13 14:23:57.815123,1734117837.8151226,335
2024-12-13 14:23:57.815123,1734117837.8151226,335
2024-12-13 14:23:57.815123,1734117837.8151226,336
2024-12-13 14:23:57.815123,1734117837.8151226,336
2024-12-13 14:23:57.815123,1734117837.8151226,336
2024-12-13 14:23:57.815123,1734117837.8151226,335
2024-12-13 14:23:57.815123,1734117837.8151226,335
2024-12-13 14:23:57.816625,1734117837.8166249,335
2024-12-13 14:23:57.816625,1734117837.8166249,335
2024-12-13 14:23:57.816625,1734117837.8166249,335
2024-12-13 14:23:57.816625,1734117837.8166249,335
2024-12-13 14:23:57.816625,1734117837.8166249,335
2024-12-13 14:23:57.816625,1734117837.8166249,335
2024-12-13 14:23:57.816625,1734117837.8166249,334
2024-12-13 14:23:57.816625,1734117837.8166249,334
2024-12-13 14:23:57.816625,1734117837.8166249,335
2024-12-13 14:23:57.816625,1734117837.8166249,335
2024-12-13 14:23:57.834302,1734117837.8343017,335
2024-12-13 14:23:57.854938,1734117837.8549376,336
2024-12-13 14:23:57.870848,1734117837.8708482,337
2024-12-13 14:23:57.891086,1734117837.8910859,335
2024-12-13 14:23:57.911927,1734117837.9119272,336
2024-12-13 14:23:57.932989,1734117837.932989,335
2024-12-13 14:23:57.953294,1734117837.953294,335
2024-12-13 14:23:57.973301,1734117837.9733014,335
2024-12-13 14:23:57.994269,1734117837.9942694,337
2024-12-13 14:23:58.014775,1734117838.0147748,334
2024-12-13 14:23:58.035512,1734117838.0355122,335
2024-12-13 14:23:58.055183,1734117838.055183,336
2024-12-13 14:23:58.075408,1734117838.0754085,336
2024-12-13 14:23:58.096037,1734117838.0960374,335
2024-12-13 14:23:58.117017,1734117838.1170173,335
2024-12-13 14:23:58.137169,1734117838.137169,334
2024-12-13 14:23:58.157931,1734117838.157931,335
2024-12-13 14:23:58.178747,1734117838.1787472,336
2024-12-13 14:23:58.199273,1734117838.199273,333
2024-12-13 14:23:58.218455,1734117838.2184546,335
2024-12-13 14:23:58.239920,1734117838.23992,335
2024-12-13 14:23:58.260629,1734117838.2606294,334
2024-12-13 14:23:58.280716,1734117838.2807157,336
2024-12-13 14:23:58.300942,1734117838.3009417,335
2024-12-13 14:23:58.321915,1734117838.321915,335
2024-12-13 14:23:58.342123,1734117838.342123,335
2024-12-13 14:23:58.362705,1734117838.3627052,335
2024-12-13 14:23:58.383332,1734117838.3833325,335
2024-12-13 14:23:58.403299,1734117838.4032986,335
2024-12-13 14:23:58.424299,1734117838.4242995,335
2024-12-13 14:23:58.440748,1734117838.4407482,334
2024-12-13 14:23:58.460773,1734117838.4607728,336
2024-12-13 14:23:58.481243,1734117838.4812431,335
2024-12-13 14:23:58.502140,1734117838.50214,335
2024-12-13 14:23:58.522615,1734117838.5226152,336
